movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
High School DxD,7.6,TV-MA,"Animation, Action, Comedy",(2012–2018),,,,,,,,,,,,,,,,"Adventure, Comedy, Western",,"Adventure, Fantasy, Sci-Fi",40
Star Wars: The Bad Batch,7.9,TV-PG,"Animation, Action, Adventure",(2021– ),,,,,,,,,,,,,,,,"Adventure, Crime, Comedy",,"Animation, Adventure",39
Kung Fu Panda,7.6,PG,"Animation, Action, Adventure",-2008,,,,,,,,,,,,,,,,"Adventure, Crime, Drama",,"Animation, Family, Musical",39
Big Hero 6,7.8,PG,"Animation, Action, Adventure",-2014,,,,,,,,,,,,,,,,"Adventure, Crime, Family",,"Comedy, Horror, Thriller",38
Ice Age,7.5,PG,"Animation, Adventure, Comedy",-2002,,,,,,,,,,,,,,,,"Adventure, Crime, Fantasy",,"Adventure, Family, Fantasy",38
Toy Story 4,7.7,G,"Animation, Adventure, Comedy",-2019,,,,,,,,,,,,,,,,"Adventure, Crime, Horror",,"Action, Drama, Fantasy",37
The Rising of the Shield Hero,8.1,TV-14,"Animation, Action, Adventure",(2019– ),,,,,,,,,,,,,,,,"Adventure, Crime, Mystery",,"Family, Animation, Short",36
The Legend of Korra,8.4,TV-PG,"Animation, Action, Adventure",(2012–2014),,,,,,,,,,,,,,,,"Adventure, Crime, Sci-Fi",,"Animation, Comedy, Crime",36
Komi Can't Communicate,7.8,TV-14,"Animation, Comedy, Drama",(2021– ),,,,,,,,,,,,,,,,"Adventure, Drama, Family",,"Comedy, Horror, Mystery",35
The Ice Age Adventures of Buck Wild,4.5,PG,"Animation, Adventure, Comedy",-2022,,,,,,,,,,,,,,,,"Adventure, Drama, Fantasy",,"Comedy, Music, Romance",34
Rango,7.2,PG,"Animation, Action, Adventure",-2011,,,,,,,,,,,,,,,,"Adventure, Drama, History",,"Action, Adventure, Mystery",34
Grave of the Fireflies,8.5,Not Rated,"Animation, Drama, War",-1988,,,,,,,,,,,,,,,,"Adventure, Drama, Horror",,"Animation, Sport",34
Regular Show,8.5,TV-PG,"Animation, Action, Adventure",(2009–2017),,,,,,,,,,,,,,,,"Adventure, Drama, Mystery",,"Short, Action, Adventure",33
The Little Mermaid,7.6,G,"Animation, Adventure, Comedy",-1989,,,,,,,,,,,,,,,,"Adventure, Drama, Romance",,"Adventure, Horror, Sci-Fi",33
The Proud Family: Louder and Prouder,5.5,TV-G,"Animation, Adventure, Comedy",(2022– ),,,,,,,,,,,,,,,,"Adventure, Drama, Sci-Fi",,"Fantasy, Sci-Fi",32
Sausage Party,6.1,R,"Animation, Adventure, Comedy",-2016,,,,,,,,,,,,,,,,"Adventure, Family, Comedy",,"Family, Sci-Fi",32
Beauty and the Beast,8,G,"Animation, Family, Fantasy",-1991,,,,,,,,,,,,,,,,"Adventure, Family, Fantasy",,"Comedy, Musical",32
PAW Patrol: The Movie,6.1,G,"Animation, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,"Adventure, Family, Horror",,"Comedy, Crime, Romance",31
Star Trek: Lower Decks,7.2,TV-14,"Animation, Action, Adventure",(2020– ),,,,,,,,,,,,,,,,"Adventure, Family, Musical",,"Animation, Comedy, Horror",31
Cowboy Bebop,8.9,TV-14,"Animation, Action, Adventure",(1998–1999),,,,,,,,,,,,,,,,"Adventure, Family, Mystery",,"Comedy, Western",30
Vinland Saga,8.8,TV-MA,"Animation, Action, Adventure",(2019– ),,,,,,,,,,,,,,,,"Adventure, Family, Sci-Fi",,"Crime, Drama, Sci-Fi",30
The Boys Presents: Diabolical,6.9,TV-MA,"Animation, Short, Action",(2022– ),,,,,,,,,,,,,,,,"Adventure, Fantasy, Horror",,"Adventure, Family, Sci-Fi",29
The Great North,6.5,TV-14,"Animation, Comedy",(2021– ),,,,,,,,,,,,,,,,"Adventure, Fantasy, Musical",,"Action, Horror, Mystery",29
Fantastic Mr. Fox,7.9,PG,"Animation, Adventure, Comedy",-2009,,,,,,,,,,,,,,,,"Adventure, Fantasy, Mystery",,"Mystery, Sci-Fi",28
Frozen II,6.8,PG,"Animation, Adventure, Comedy",-2019,,,,,,,,,,,,,,,,"Adventure, Fantasy, Romance",,"Romance, Sci-Fi",28
Disenchanted,,,"Animation, Adventure, Comedy",-2022,,,,,,,,,,,,,,,,"Adventure, Fantasy, Sci-Fi",,"Comedy, Fantasy, Sci-Fi",28
Enchanted,7.1,PG,"Animation, Adventure, Comedy",-2007,,,,,,,,,,,,,,,,"Adventure, History, Sci-Fi",,"Animation, Family, Comedy",28
Belle,7.2,PG,"Animation, Adventure, Drama",-2021,,,,,,,,,,,,,,,,"Adventure, Horror, Action",,"Adventure, Drama, Fantasy",28
Shrek Forever After,6.3,PG,"Animation, Adventure, Comedy",-2010,,,,,,,,,,,,,,,,"Adventure, Horror, Mystery",,"Animation, Short, Horror",27
Disenchantment,7.2,TV-MA,"Animation, Action, Adventure",(2018– ),,,,,,,,,,,,,,,,"Adventure, Horror, Romance",,"Animation, Music",27
Gintama,8.7,TV-14,"Animation, Action, Comedy",(2005–2018),,,,,,,,,,,,,,,,"Adventure, Horror, Sci-Fi",,"Short, Horror, Sci-Fi",26
Toy Story 3,8.3,G,"Animation, Adventure, Comedy",-2010,,,,,,,,,,,,,,,,"Adventure, Music, Sci-Fi",,"Animation, Drama, Sci-Fi",26
Princess Mononoke,8.4,PG-13,"Animation, Action, Adventure",-1997,,,,,,,,,,,,,,,,"Adventure, Musical, Animation",,"Comedy, Reality-TV",25
Close Enough,7.8,TV-14,"Animation, Action, Adventure",(2020– ),,,,,,,,,,,,,,,,"Adventure, Musical, Fantasy",,"Documentary, Sci-Fi",25
Flee,8,PG-13,"Documentary, Animation, Biography",-2021,,,,,,,,,,,,,,,,"Adventure, Musical, Sci-Fi",,"Documentary, Animation",25
Megamind,7.3,PG,"Animation, Action, Comedy",-2010,,,,,,,,,,,,,,,,"Adventure, Mystery, Romance",,"Short, Drama, Sci-Fi",25
Tokyo Revengers,8.2,TV-14,"Animation, Action, Drama",(2021– ),,,,,,,,,,,,,,,,"Adventure, Mystery, Sci-Fi",,"Animation, Adventure, Sci-Fi",25
Heavy Metal,6.6,R,"Animation, Adventure, Fantasy",-1981,,,,,,,,,,,,,,,,"Adventure, Romance, Sci-Fi",,"Action, Mystery, Sci-Fi",25
How to Train Your Dragon: The Hidden World,7.4,PG,"Animation, Action, Adventure",-2019,,,,,,,,,,,,,,,,"Adventure, Sci-Fi",,"Animation, Drama, Mystery",25
Ron's Gone Wrong,7,PG,"Animation, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,"Adventure, Sci-Fi, Action",,"Comedy, Family, Music",24
Green Eggs and Ham,8.1,TV-Y7,"Animation, Adventure, Comedy",(2019– ),,,,,,,,,,,,,,,,"Adventure, Sci-Fi, Fantasy",,"Drama, Fantasy, Mystery",24
Despicable Me,7.6,PG,"Animation, Adventure, Comedy",-2010,,,,,,,,,,,,,,,,"Adventure, Sci-Fi, Short",,"Action, Drama, Mystery",24
Ranking of Kings,8.7,TV-14,"Animation, Adventure, Comedy",(2021– ),,,,,,,,,,,,,,,,"Adventure, Sci-Fi, Sport",,"Animation, Drama, Horror",24
The Emperor's New Groove,7.4,G,"Animation, Adventure, Comedy",-2000,,,,,,,,,,,,,,,,"Adventure, Sci-Fi, Thriller",,"Animation, Short, Sci-Fi",24
