movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
Ship Ahoy,6.4,Passed,"Comedy, Musical, Romance",-1942,,,,,,,,,,,,,,,,,,,
Vamps,5.2,PG-13,"Comedy, Horror, Romance",-2012,,,,,,,,,,,,,,,,,,,
UFOs,7.7,,"Comedy, Sci-Fi",(2021– ),,,,,,,,,,,,,,,,,,,
Bad Hair,5.5,Unrated,"Comedy, Horror, Music",-2020,,,,,,,,,,,,,,,,,,,
The Detectives,7.4,,"Comedy, Crime",(1993–1997),,,,,,,,,,,,,,,,,,,
1 Night in San Diego,3.5,Not Rated,Comedy,-2020,,,,,,,,,,,,,,,,,,,
Doom Asylum,4.6,R,"Comedy, Horror",-1987,,,,,,,,,,,,,,,,,,,
Beautiful Thing,7.6,R,"Comedy, Drama, Romance",-1996,,,,,,,,,,,,,,,,,,,
What Planet Are You From?,5.6,R,"Comedy, Sci-Fi",-2000,,,,,,,,,,,,,,,,,,,
Band Aid,6.6,R,"Comedy, Drama, Music",-2017,,,,,,,,,,,,,,,,,,,
2001 Maniacs,5.3,R,"Comedy, Horror",-2005,,,,,,,,,,,,,,,,,,,
Forbidden Zone,6.6,R,"Comedy, Fantasy, Musical",-1980,,,,,,,,,,,,,,,,,,,
The Torkelsons,7.9,TV-G,"Comedy, Drama, Family",(1991–1992),,,,,,,,,,,,,,,,,,,
What's Happening Now!,6.1,TV-G,Comedy,(1985–1988),,,,,,,,,,,,,,,,,,,
Killer Movie: Director's Cut,4.7,,"Comedy, Horror, Mystery",-2021,,,,,,,,,,,,,,,,,,,
Morangos com Açúcar,3.6,,"Comedy, Drama, Music",(2003–2012),,,,,,,,,,,,,,,,,,,
Grace,5.7,TV-14,"Comedy, Drama, Romance",(IV) (2018),,,,,,,,,,,,,,,,,,,
Taxi 5,4.7,,"Action, Comedy, Crime",-2018,,,,,,,,,,,,,,,,,,,
Adult World,6.1,R,"Comedy, Drama",-2013,,,,,,,,,,,,,,,,,,,
Crown for Christmas,6.9,TV-G,"Comedy, Drama, Family",(2015 TV Movie),,,,,,,,,,,,,,,,,,,
I Hope They Serve Beer in Hell,5.2,R,Comedy,-2009,,,,,,,,,,,,,,,,,,,
Love Stinks,5.7,R,Comedy,-1999,,,,,,,,,,,,,,,,,,,
Lego Star Wars: The Video Game,8.1,E,"Action, Adventure, Comedy",(2005 Video Game),,,,,,,,,,,,,,,,,,,
Thunderpants,3.8,PG,"Comedy, Family, Sci-Fi",-2002,,,,,,,,,,,,,,,,,,,
Love in the Forecast,6.2,TV-G,"Comedy, Romance",(2020 TV Movie),,,,,,,,,,,,,,,,,,,
The Glimmer Man,5.4,R,"Action, Comedy, Crime",-1996,,,,,,,,,,,,,,,,,,,
High Guardian Spice,1.4,TV-14,"Animation, Action, Adventure",(2021– ),,,,,,,,,,,,,,,,,,,
Crazy People,6,R,"Comedy, Drama",-1990,,,,,,,,,,,,,,,,,,,
Fade to Black,6,R,"Comedy, Crime, Horror",-1980,,,,,,,,,,,,,,,,,,,
Viva Las Vegas,6.3,Approved,"Comedy, Musical",-1964,,,,,,,,,,,,,,,,,,,
Man About the House,7.2,,Comedy,(1973–1976),,,,,,,,,,,,,,,,,,,
Men at Work,7.1,TV-14,"Comedy, Drama, Romance",(2012–2014),,,,,,,,,,,,,,,,,,,
You Keep the Kids,6,,Comedy,-2021,,,,,,,,,,,,,,,,,,,
Death to 2020,6.8,TV-MA,Comedy,(2020 TV Special),,,,,,,,,,,,,,,,,,,
Backstrom,7.4,TV-14,"Comedy, Crime, Drama",-2015,,,,,,,,,,,,,,,,,,,
The Electric Company,7.5,TV-G,"Comedy, Family",(2006– ),,,,,,,,,,,,,,,,,,,
Kindergarten Cop 2,4.4,PG-13,"Action, Comedy",-2016,,,,,,,,,,,,,,,,,,,
Middleditch & Schwartz,8.6,TV-MA,Comedy,(2020– ),,,,,,,,,,,,,,,,,,,
Belle Epoque,7.1,R,"Comedy, Drama, Romance",-1992,,,,,,,,,,,,,,,,,,,
City Slickers II: The Legend of Curly's Gold,5.5,PG-13,"Comedy, Western",-1994,,,,,,,,,,,,,,,,,,,
Love in the Afternoon,7.6,R,"Comedy, Drama, Romance",-1972,,,,,,,,,,,,,,,,,,,
Big Brother,6.3,TV-14,"Action, Comedy, Drama",-2018,,,,,,,,,,,,,,,,,,,
The Bed Sitting Room,6.1,M,"Comedy, Sci-Fi",-1969,,,,,,,,,,,,,,,,,,,
Lab Rats: Elite Force,6.3,TV-Y7,"Adventure, Comedy, Drama",(2016–2019),,,,,,,,,,,,,,,,,,,
Meet the Browns,4.3,PG-13,"Comedy, Drama, Romance",-2008,,,,,,,,,,,,,,,,,,,
Lover Come Back,7.2,Approved,"Comedy, Drama, Romance",-1961,,,,,,,,,,,,,,,,,,,
Sweet Revenge,7.3,,"Comedy, Fantasy, Mystery",(2017– ),,,,,,,,,,,,,,,,,,,
Beyond Re-Animator,5.8,R,"Comedy, Horror, Sci-Fi",-2003,,,,,,,,,,,,,,,,,,,
Get Real,7.4,TV-14,"Comedy, Drama, Romance",(1999–2000),,,,,,,,,,,,,,,,,,,
Kid Cannabis,6.4,Not Rated,"Biography, Comedy, Crime",-2014,,,,,,,,,,,,,,,,,,,
The English Teacher,5.7,R,"Comedy, Drama",-2013,,,,,,,,,,,,,,,,,,,
Win Win,7.1,R,"Comedy, Drama, Sport",-2011,,,,,,,,,,,,,,,,,,,
A Dog's Will,8.6,,"Comedy, Drama, Fantasy",-2000,,,,,,,,,,,,,,,,,,,
The Pod Generation,,,"Comedy, Romance, Sci-Fi",-2023,,,,,,,,,,,,,,,,,,,
The Unsinkable Molly Brown,6.6,Approved,"Comedy, Musical, Romance",-1964,,,,,,,,,,,,,,,,,,,
Moonbase 8,5.8,TV-14,"Comedy, Sci-Fi",-2020,,,,,,,,,,,,,,,,,,,
Midnight Runners,7.3,Not Rated,"Action, Comedy, Crime",-2017,,,,,,,,,,,,,,,,,,,
Two Days in Paris,6.8,R,"Comedy, Drama, Romance",-2007,,,,,,,,,,,,,,,,,,,
Four More Shots Please,7.1,TV-MA,"Comedy, Drama, Romance",(2019– ),,,,,,,,,,,,,,,,,,,
Satisfaction,4.8,PG-13,"Comedy, Music, Romance",-1988,,,,,,,,,,,,,,,,,,,
Frenemies,5,TV-G,"Comedy, Drama, Family",(2012 TV Movie),,,,,,,,,,,,,,,,,,,
Handy Bean,6.2,,"Short, Comedy, Family",(2018– ),,,,,,,,,,,,,,,,,,,
Bad Girls Behind Bars,4.9,TV-MA,Comedy,(2016 Video),,,,,,,,,,,,,,,,,,,
He's Expecting,1,TV-PG,"Comedy, Drama, Romance",(2022– ),,,,,,,,,,,,,,,,,,,
Saint-Narcisse,5.4,Unrated,"Comedy, Drama, Romance",-2020,,,,,,,,,,,,,,,,,,,
Chi-Raq,5.8,R,"Comedy, Crime, Drama",-2015,,,,,,,,,,,,,,,,,,,
The In-Laws,7.3,PG,"Action, Adventure, Comedy",-1979,,,,,,,,,,,,,,,,,,,
Junebug,6.9,R,"Comedy, Drama",-2005,,,,,,,,,,,,,,,,,,,
Moon Over Parador,6,PG-13,"Comedy, Romance",-1988,,,,,,,,,,,,,,,,,,,
Stitches,5.7,R,"Comedy, Horror",(I) (2012),,,,,,,,,,,,,,,,,,,
Townies,6.3,,Comedy,-1996,,,,,,,,,,,,,,,,,,,
Slice,4.5,R,"Comedy, Crime, Fantasy",-2018,,,,,,,,,,,,,,,,,,,
The Ramen Girl,6.3,PG-13,"Comedy, Drama, Romance",-2008,,,,,,,,,,,,,,,,,,,
House Party 2,5.2,R,"Comedy, Drama, Music",-1991,,,,,,,,,,,,,,,,,,,
The Diary of My Broken Vagina,6.6,,Comedy,-2019,,,,,,,,,,,,,,,,,,,
"Surfer, Dude",4.6,R,Comedy,-2008,,,,,,,,,,,,,,,,,,,
The Storied Life of A.J. Fikry,,,"Comedy, Drama",,,,,,,,,,,,,,,,,,,,
Love and Other Disasters,6.1,R,"Comedy, Drama, Romance",-2006,,,,,,,,,,,,,,,,,,,
Savannah Smiles,7,PG,"Comedy, Family",-1982,,,,,,,,,,,,,,,,,,,
The Man with One Red Shoe,5.7,PG,"Comedy, Thriller",-1985,,,,,,,,,,,,,,,,,,,
Mortimer & Whitehouse: Gone Fishing,8.9,,"Comedy, Reality-TV",(2018– ),,,,,,,,,,,,,,,,,,,
Out of Practice,7.5,,Comedy,(2005–2006),,,,,,,,,,,,,,,,,,,
Haters,3.5,,Comedy,-2021,,,,,,,,,,,,,,,,,,,
Kids Incorporated,7.1,TV-G,"Comedy, Family, Music",(1984–1993),,,,,,,,,,,,,,,,,,,
Girl Most Likely,5.7,PG-13,Comedy,-2012,,,,,,,,,,,,,,,,,,,
Strangers,7.8,,"Comedy, Drama, Romance",(2017–2018),,,,,,,,,,,,,,,,,,,
Better Call Saul: Madrigal Electromotive Security Training,8.1,,Comedy,-2018,,,,,,,,,,,,,,,,,,,
Love Spreads,3.4,,Comedy,-2021,,,,,,,,,,,,,,,,,,,
Keeper of the Cup,,,Comedy,,,,,,,,,,,,,,,,,,,,
The Upside of Anger,6.8,R,"Comedy, Drama",-2005,,,,,,,,,,,,,,,,,,,
Blankman,5,PG-13,"Action, Comedy, Crime",-1994,,,,,,,,,,,,,,,,,,,
All I Wish,5.2,R,"Comedy, Drama, Romance",-2017,,,,,,,,,,,,,,,,,,,
Melvin and Howard,6.8,R,"Comedy, Drama",-1980,,,,,,,,,,,,,,,,,,,
For Crimin' Out Loud,7.2,Passed,"Comedy, Short",-1956,,,,,,,,,,,,,,,,,,,
Beautiful Minds,7.1,,"Comedy, Drama",-2021,,,,,,,,,,,,,,,,,,,
The Mickey Mouse Club,7.6,TV-G,"Comedy, Drama, Family",(1955–1958),,,,,,,,,,,,,,,,,,,
Sweet and Lowdown,7.2,PG-13,"Comedy, Drama, Music",-1999,,,,,,,,,,,,,,,,,,,
Vicious,8,TV-MA,Comedy,(2013–2016),,,,,,,,,,,,,,,,,,,
Mister Lonely,6.4,Not Rated,"Comedy, Drama",-2007,,,,,,,,,,,,,,,,,,,
The Longest Week,5.4,PG-13,"Comedy, Drama, Romance",-2014,,,,,,,,,,,,,,,,,,,
Laws of Attraction,5.8,PG-13,"Comedy, Romance",-2004,,,,,,,,,,,,,,,,,,,
Jigarthanda,8.3,Not Rated,"Action, Comedy, Crime",-2014,,,,,,,,,,,,,,,,,,,
Fletch Lives,6.1,PG,"Comedy, Crime, Mystery",-1989,,,,,,,,,,,,,,,,,,,
The Ballad of Cable Hogue,7.2,R,"Comedy, Drama, Romance",-1970,,,,,,,,,,,,,,,,,,,
Nina Forever,5.6,R,"Comedy, Drama, Horror",-2015,,,,,,,,,,,,,,,,,,,
"Love, of Course",6.7,TV-G,"Comedy, Romance",(2018 TV Movie),,,,,,,,,,,,,,,,,,,
Unaccompanied Minors,5.3,PG,"Adventure, Comedy, Family",-2006,,,,,,,,,,,,,,,,,,,
Carol's Second Act,5.7,TV-PG,Comedy,(2019–2020),,,,,,,,,,,,,,,,,,,
Cadet Kelly,5.4,TV-G,"Comedy, Drama, Family",(2002 TV Movie),,,,,,,,,,,,,,,,,,,
Love Scenery,8.6,,"Comedy, Music, Romance",-2021,,,,,,,,,,,,,,,,,,,
Butter,5.6,PG-13,"Comedy, Drama, Romance",-2020,,,,,,,,,,,,,,,,,,,
Sundown: The Vampire in Retreat,6.1,R,"Comedy, Horror, Western",-1989,,,,,,,,,,,,,,,,,,,
For Love or Money,6.2,PG,"Comedy, Drama, Romance",-1993,,,,,,,,,,,,,,,,,,,
The Angriest Man in Brooklyn,5.7,R,"Comedy, Drama",-2014,,,,,,,,,,,,,,,,,,,
Mrs. Henderson Presents,7,R,"Comedy, Drama, Music",-2005,,,,,,,,,,,,,,,,,,,
The Miracle of Marcelino,7.1,G,"Comedy, Drama",-1955,,,,,,,,,,,,,,,,,,,
8,7.5,TV-MA,Comedy,(2017 TV Special),,,,,,,,,,,,,,,,,,,
Just Visiting,5.7,PG-13,"Adventure, Comedy, Fantasy",-2001,,,,,,,,,,,,,,,,,,,
Dinnerladies,7.8,,Comedy,(1998–2000),,,,,,,,,,,,,,,,,,,
Are We Done Yet?,4.2,PG,"Comedy, Family, Fantasy",-2007,,,,,,,,,,,,,,,,,,,
Gaddalakonda Ganesh,5.9,Not Rated,"Action, Comedy, Crime",-2019,,,,,,,,,,,,,,,,,,,
Drive-In,6.3,PG,Comedy,-1976,,,,,,,,,,,,,,,,,,,
My Night at Maud's,7.8,GP,"Comedy, Drama, Romance",-1969,,,,,,,,,,,,,,,,,,,
Viola come il mare,,,"Comedy, Thriller",(2022– ),,,,,,,,,,,,,,,,,,,
The Day of the Beast,7.3,R,"Action, Comedy, Crime",-1995,,,,,,,,,,,,,,,,,,,
The Guild,8.2,TV-14,"Short, Comedy",(2007–2013),,,,,,,,,,,,,,,,,,,
Powerless,6.3,,"Comedy, Fantasy, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Joker,6.9,,"Comedy, Reality-TV",(2021– ),,,,,,,,,,,,,,,,,,,
The Way We Weren't,5.7,TV-MA,Comedy,-2019,,,,,,,,,,,,,,,,,,,
Life Is Sweet,7.4,R,"Comedy, Drama",-1990,,,,,,,,,,,,,,,,,,,
Mad for Each Other,7.9,,"Comedy, Drama, Romance",(2021– ),,,,,,,,,,,,,,,,,,,
The Binge,5.2,TV-MA,Comedy,-2020,,,,,,,,,,,,,,,,,,,
Animal Farm,6,PG,"Comedy, Drama, Family",(1999 TV Movie),,,,,,,,,,,,,,,,,,,
The Comments Section with Brett Cooper,8.4,,"Comedy, News, Talk-Show",(2022– ),,,,,,,,,,,,,,,,,,,
Road to the Lemon Grove,6,,"Comedy, Drama",-2019,,,,,,,,,,,,,,,,,,,
A Return to Salem's Lot,4.3,R,"Comedy, Horror, Thriller",-1987,,,,,,,,,,,,,,,,,,,
The Big Hit,7.1,,"Comedy, Drama",-2020,,,,,,,,,,,,,,,,,,,
The Adventures of Ozzie and Harriet,7.4,TV-G,"Comedy, Drama, Family",(1952–1966),,,,,,,,,,,,,,,,,,,
Work in Progress,7.1,TV-MA,Comedy,(II) (2019–2021),,,,,,,,,,,,,,,,,,,
Belles on Their Toes,6.5,Approved,Comedy,-1952,,,,,,,,,,,,,,,,,,,
Wish You Were Here,6.8,R,"Comedy, Drama",-1987,,,,,,,,,,,,,,,,,,,
Man of the Year,6.2,PG-13,"Comedy, Drama, Romance",-2006,,,,,,,,,,,,,,,,,,,
Start-Up,6.4,,"Action, Comedy, Drama",-2019,,,,,,,,,,,,,,,,,,,
The Romantic Englishwoman,6.1,R,"Comedy, Drama, Romance",-1975,,,,,,,,,,,,,,,,,,,
Shrunk,,,"Comedy, Family, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Butch and Sundance: The Early Days,5.6,PG,"Comedy, Western",-1979,,,,,,,,,,,,,,,,,,,
Pippi Longstocking,7,G,"Adventure, Comedy, Drama",-1969,,,,,,,,,,,,,,,,,,,
Married,7,TV-MA,"Comedy, Drama, Romance",(2014–2015),,,,,,,,,,,,,,,,,,,
Next Floor,7.5,TV-PG,"Short, Comedy",-2008,,,,,,,,,,,,,,,,,,,
Lake Placid 2,3.1,Unrated,"Action, Adventure, Comedy",(2007 TV Movie),,,,,,,,,,,,,,,,,,,
Smosh,6.9,TV-14,"Comedy, Family, Fantasy",(2005– ),,,,,,,,,,,,,,,,,,,
Home Sweet Hell,5.5,R,"Comedy, Crime, Thriller",-2015,,,,,,,,,,,,,,,,,,,
New Kids Turbo,6.4,,"Action, Comedy",-2010,,,,,,,,,,,,,,,,,,,
Cul-de-sac,7,Not Rated,"Comedy, Drama, Thriller",-1966,,,,,,,,,,,,,,,,,,,
Boo! A Madea Halloween,4.5,PG-13,"Comedy, Drama, Horror",-2016,,,,,,,,,,,,,,,,,,,
Funny Thing About Love,4.7,PG,"Comedy, Family, Romance",-2021,,,,,,,,,,,,,,,,,,,
Hot Bot,3.3,Not Rated,"Comedy, Sci-Fi",-2016,,,,,,,,,,,,,,,,,,,
Legal Eagles,6,PG,"Comedy, Crime, Romance",-1986,,,,,,,,,,,,,,,,,,,
The New Addams Family,6.3,TV-Y7,"Comedy, Family, Horror",(1998–1999),,,,,,,,,,,,,,,,,,,
Wonderfalls,8.3,TV-PG,"Comedy, Drama, Fantasy",-2004,,,,,,,,,,,,,,,,,,,
Untitled Horror Movie,4.8,Not Rated,"Comedy, Horror",-2021,,,,,,,,,,,,,,,,,,,
6-Headed Shark Attack,2.8,TV-14,"Action, Adventure, Comedy",(2018 TV Movie),,,,,,,,,,,,,,,,,,,
Peter Pan Goes Wrong,8.6,,Comedy,(2016 TV Movie),,,,,,,,,,,,,,,,,,,
Adventures of a Taxi Driver,4.2,,"Comedy, Crime",-1976,,,,,,,,,,,,,,,,,,,
Casa de mi Padre,5.5,R,"Comedy, Western",-2012,,,,,,,,,,,,,,,,,,,
Pete Versus Life,7.7,,"Comedy, Drama",(2010– ),,,,,,,,,,,,,,,,,,,
The Story of Us,5.9,R,"Comedy, Drama, Romance",-1999,,,,,,,,,,,,,,,,,,,
Jackass 2.5,6.4,Unrated,"Documentary, Action, Comedy",(2007 Video),,,,,,,,,,,,,,,,,,,
Crazy About Her,6.6,TV-MA,"Comedy, Romance",-2021,,,,,,,,,,,,,,,,,,,
Privileged,6.8,TV-14,Comedy,(2008–2009),,,,,,,,,,,,,,,,,,,
Car Share,8.3,,Comedy,(2015–2020),,,,,,,,,,,,,,,,,,,
Sweet Autumn,6.5,TV-G,"Comedy, Family, Romance",(2020 TV Movie),,,,,,,,,,,,,,,,,,,
Confessions of a Window Cleaner,4.6,R,Comedy,-1974,,,,,,,,,,,,,,,,,,,
Citizen Toxie: The Toxic Avenger IV,6,R,"Action, Comedy, Fantasy",-2000,,,,,,,,,,,,,,,,,,,
Pride and Prejudice,7.4,TV-PG,"Comedy, Drama, Romance",-1980,,,,,,,,,,,,,,,,,,,
Castaway on the Moon,8,PG-13,"Comedy, Drama, Romance",-2009,,,,,,,,,,,,,,,,,,,
Beerfest: Thirst for Victory,6.4,,Comedy,(2018 TV Movie),,,,,,,,,,,,,,,,,,,
The Daytrippers,7,R,"Comedy, Drama",-1996,,,,,,,,,,,,,,,,,,,
Hollywood Chainsaw Hookers,5.3,R,"Comedy, Horror",-1988,,,,,,,,,,,,,,,,,,,
Still 17,7.9,,"Comedy, Romance",-2018,,,,,,,,,,,,,,,,,,,
Saturday the 14th,4.6,PG,"Comedy, Fantasy, Horror",-1981,,,,,,,,,,,,,,,,,,,
The Spoils of Babylon,6.7,TV-14,Comedy,-2014,,,,,,,,,,,,,,,,,,,
Mr & Mrs Murder,7.4,,"Comedy, Mystery",-2013,,,,,,,,,,,,,,,,,,,
Princess Rap Battle,8.1,,"Short, Comedy, Musical",(2014– ),,,,,,,,,,,,,,,,,,,
Cecil B. Demented,6.2,R,"Comedy, Crime, Thriller",-2000,,,,,,,,,,,,,,,,,,,
The John Larroquette Show,7.3,,Comedy,(1993–1996),,,,,,,,,,,,,,,,,,,
Inbred,5.2,R,"Comedy, Horror",-2011,,,,,,,,,,,,,,,,,,,
As It Is in Heaven,7.5,Not Rated,"Comedy, Drama, Music",-2004,,,,,,,,,,,,,,,,,,,
Deadly Cuts,6.1,,Comedy,-2021,,,,,,,,,,,,,,,,,,,
Before I Go,6.6,,"Comedy, Drama",-2021,,,,,,,,,,,,,,,,,,,
My Left Nut,7.5,,"Comedy, Drama",-2020,,,,,,,,,,,,,,,,,,,
Bad Teacher,5.2,TV-14,Comedy,-2014,,,,,,,,,,,,,,,,,,,
The Computer Wore Tennis Shoes,6,G,"Comedy, Family, Sci-Fi",-1969,,,,,,,,,,,,,,,,,,,
Under the Eiffel Tower,5.4,Not Rated,"Comedy, Romance",-2018,,,,,,,,,,,,,,,,,,,
10 Truths About Love,6.4,,"Comedy, Drama, Romance",-2022,,,,,,,,,,,,,,,,,,,
Bushwhacked,5.6,PG-13,"Adventure, Comedy, Crime",-1995,,,,,,,,,,,,,,,,,,,
A Night at the Opera,7.8,Passed,"Comedy, Music, Musical",-1935,,,,,,,,,,,,,,,,,,,
Wadjda,7.5,PG,"Comedy, Drama",-2012,,,,,,,,,,,,,,,,,,,
Cyrus,6.3,R,"Comedy, Drama, Romance",(I) (2010),,,,,,,,,,,,,,,,,,,
Nostalgia Critic,7.6,TV-MA,"Comedy, Fantasy",(2007– ),,,,,,,,,,,,,,,,,,,
Smokey and the Bandit Part 3,3.4,PG,"Action, Comedy, Crime",-1983,,,,,,,,,,,,,,,,,,,
Remember the Daze,5.6,R,"Comedy, Drama",-2007,,,,,,,,,,,,,,,,,,,
Boo!,,,"Adventure, Comedy, Horror",-2022,,,,,,,,,,,,,,,,,,,
Stop the Wedding,6.4,TV-G,"Comedy, Drama, Romance",(2016 TV Movie),,,,,,,,,,,,,,,,,,,
Greener Grass,6.3,Unrated,Comedy,-2019,,,,,,,,,,,,,,,,,,,
Call Me Fitz,7.1,,Comedy,(2010–2013),,,,,,,,,,,,,,,,,,,
Swung,4.6,,"Comedy, Drama, Romance",-2015,,,,,,,,,,,,,,,,,,,
Sex & Drugs & Rock & Roll,7.1,TV-MA,"Comedy, Music",(2015–2016),,,,,,,,,,,,,,,,,,,
The Party's Just Beginning,6.1,Not Rated,"Comedy, Drama",-2018,,,,,,,,,,,,,,,,,,,
The Man Show,6.6,TV-MA,"Comedy, Talk-Show",(1999–2014),,,,,,,,,,,,,,,,,,,
Adult Wednesday,8.5,,Comedy,(2013– ),,,,,,,,,,,,,,,,,,,
The Beautiful Person,6.6,Unrated,"Comedy, Drama",-2008,,,,,,,,,,,,,,,,,,,
Pink Skies Ahead,6.1,TV-14,"Comedy, Drama",-2020,,,,,,,,,,,,,,,,,,,
Zorro: The Gay Blade,6.2,PG,"Action, Adventure, Comedy",-1981,,,,,,,,,,,,,,,,,,,
The Chumscrubber,6.9,R,"Comedy, Drama",-2005,,,,,,,,,,,,,,,,,,,
Portal 2,9.4,E10+,"Adventure, Comedy, Sci-Fi",(2011 Video Game),,,,,,,,,,,,,,,,,,,
Get a Clue,5,TV-G,"Comedy, Crime, Family",(2002 TV Movie),,,,,,,,,,,,,,,,,,,
Rake,6.8,TV-14,"Comedy, Crime, Drama",-2014,,,,,,,,,,,,,,,,,,,
Tollbooth,5.6,,"Comedy, Crime, Thriller",-2021,,,,,,,,,,,,,,,,,,,
Love with the Proper Stranger,7.3,Unrated,"Comedy, Drama, Romance",-1963,,,,,,,,,,,,,,,,,,,
Attack of the 50 Ft. Woman,3.9,R,"Comedy, Sci-Fi",(1993 TV Movie),,,,,,,,,,,,,,,,,,,
Killer Tongue,4.5,R,"Comedy, Sci-Fi, Horror",-1996,,,,,,,,,,,,,,,,,,,
Fantomas,6.9,Not Rated,"Adventure, Comedy, Crime",-1964,,,,,,,,,,,,,,,,,,,
Sunday in New York,6.7,Approved,"Comedy, Romance",-1963,,,,,,,,,,,,,,,,,,,
One Small Hitch,6.5,Not Rated,"Comedy, Romance",-2013,,,,,,,,,,,,,,,,,,,
Westside,7.9,TV-MA,"Comedy, Crime, Drama",(2015– ),,,,,,,,,,,,,,,,,,,
Apple of My Eyes,6.1,,Comedy,-2021,,,,,,,,,,,,,,,,,,,
Little Lunch,8.4,TV-MA,"Comedy, Family",(2015–2016),,,,,,,,,,,,,,,,,,,
The Blue Bird,6.2,Approved,"Adventure, Comedy, Family",-1940,,,,,,,,,,,,,,,,,,,
How I Met Your Dad,4.4,,Comedy,(2014 TV Movie),,,,,,,,,,,,,,,,,,,
100 Deeds for Eddie McDowd,7,TV-Y,"Comedy, Family, Fantasy",(1999–2002),,,,,,,,,,,,,,,,,,,
The Dawn of the Witch,6.2,,"Animation, Action, Adventure",(2022– ),,,,,,,,,,,,,,,,,,,
Cherry,6.7,R,"Comedy, Drama",(I) (2010),,,,,,,,,,,,,,,,,,,
"Watch Out, We're Mad",7.4,G,"Action, Comedy",-1974,,,,,,,,,,,,,,,,,,,
Second Chances,,,Comedy,-2023,,,,,,,,,,,,,,,,,,,
Mood Indigo,6.5,Not Rated,"Comedy, Drama, Fantasy",-2013,,,,,,,,,,,,,,,,,,,
Orgies and the Meaning of Life,3.2,Not Rated,"Comedy, Drama, Romance",-2008,,,,,,,,,,,,,,,,,,,
Lisztomania,6.1,R,"Biography, Comedy, Music",-1975,,,,,,,,,,,,,,,,,,,
Another Gay Movie,5,Not Rated,"Comedy, Romance",-2006,,,,,,,,,,,,,,,,,,,
Deerskin,6.7,,"Comedy, Horror",-2019,,,,,,,,,,,,,,,,,,,
Irreconcilable Differences,5.8,PG,"Comedy, Drama, Romance",-1984,,,,,,,,,,,,,,,,,,,
School for Scoundrels,5.9,PG-13,Comedy,-2006,,,,,,,,,,,,,,,,,,,
Pledge This!,1.6,R,Comedy,-2006,,,,,,,,,,,,,,,,,,,
Jungle Beat: The Movie,5.5,G,"Animation, Adventure, Comedy",-2020,,,,,,,,,,,,,,,,,,,
Bully,5.7,,Comedy,(I) (2018),,,,,,,,,,,,,,,,,,,
Winning London,5.3,G,"Adventure, Comedy, Family",(2001 Video),,,,,,,,,,,,,,,,,,,
Support Your Local Sheriff!,7.5,G,"Comedy, Western",-1969,,,,,,,,,,,,,,,,,,,
Shakes the Clown,5.6,R,"Comedy, Crime, Drama",-1991,,,,,,,,,,,,,,,,,,,
Comedy Bang! Bang!,7.5,TV-14,"Comedy, Talk-Show",(2012–2016),,,,,,,,,,,,,,,,,,,
Dolemite,5.6,R,"Action, Comedy, Crime",-1975,,,,,,,,,,,,,,,,,,,
Miami Blues,6.4,R,"Comedy, Crime, Drama",-1990,,,,,,,,,,,,,,,,,,,
The End,6.1,R,"Comedy, Drama",(I) (1978),,,,,,,,,,,,,,,,,,,
Cheap Thrills,6.7,Not Rated,"Comedy, Crime, Drama",(I) (2013),,,,,,,,,,,,,,,,,,,
My Masterpiece,7.1,,"Comedy, Drama",-2018,,,,,,,,,,,,,,,,,,,
Born in East L.A.,6,R,Comedy,-1987,,,,,,,,,,,,,,,,,,,
Pramface,7.5,,Comedy,(2012–2014),,,,,,,,,,,,,,,,,,,
Surprised by Love,6.6,TV-G,"Comedy, Family, Romance",(2015 TV Movie),,,,,,,,,,,,,,,,,,,
The Giant Mechanical Man,6.7,PG-13,"Comedy, Drama, Romance",-2012,,,,,,,,,,,,,,,,,,,
The Family Way,7.3,Approved,"Comedy, Drama, Romance",-1966,,,,,,,,,,,,,,,,,,,
Avengers of Justice: Farce Wars,2.4,,"Action, Comedy, Family",-2018,,,,,,,,,,,,,,,,,,,
Dorm Daze 2,4.1,R,Comedy,(2006 Video),,,,,,,,,,,,,,,,,,,
The Accidental Spy,5.8,PG-13,"Action, Comedy, Crime",-2001,,,,,,,,,,,,,,,,,,,
I Think I Love My Wife,5.5,R,"Comedy, Drama, Romance",-2007,,,,,,,,,,,,,,,,,,,
Kick the Cock,3.7,Not Rated,"Short, Comedy",-2008,,,,,,,,,,,,,,,,,,,
Date with Love,6,TV-G,"Comedy, Romance",(2016 TV Movie),,,,,,,,,,,,,,,,,,,
Benny Loves You,5.6,TV-MA,"Comedy, Fantasy, Horror",-2019,,,,,,,,,,,,,,,,,,,
Birdgirl,5.7,TV-14,"Animation, Adventure, Comedy",(2021– ),,,,,,,,,,,,,,,,,,,
Spookies,4.9,R,"Comedy, Horror",-1986,,,,,,,,,,,,,,,,,,,
Kikujiro,7.7,PG-13,"Drama, Comedy",-1999,,,,,,,,,,,,,,,,,,,
We're the Millers: The Miller Makeovers,7.1,,"Short, Comedy, Crime",-2013,,,,,,,,,,,,,,,,,,,
